Tiempo ,U_YAW,U_PITCH,W_YAW,W_PITCH,YAW,PITCH,,,,,,,,
-0.4,0,0,0,0,0,0,,,,,,,,
-0.38,0,0,0,0,0,0,,,0.02915,,,,,
-0.36,0,0,0,0,0,0,,,,,,,,
-0.34,0,0,0,0,0,0,,Ess_Yaw,Mp,Ts,Ess_Pitch,,Pert,
-0.32,0,0,0,0,0,0,,Gráfico,0.012,4.08,0.007,0.007,,
-0.3,0,0,0,0,0,0,,20,20,20,4,4,20,88
-0.28,0,0,0,0,0,0,,,,,,,,
-0.26,0,0,0,0,0,0,,,,,,,,
-0.24,0,0,0,0,0,0,,,,,,,,
-0.22,0,0,0,0,0,0,,,,,,,,
-0.2,0,0,0,0,0,0,,,,,,,,
-0.18,0,0,0,0,0,0,,,,,,,,
-0.16,0,0,0,0,0,0,,,,,,,,
-0.14,0,0,0,0,0,0,,,,,,,,
-0.12,0,0,0,0,0,0,,,,,,,,
-0.1,0,0,0,0,0,0,,,,,,,,
-0.08,0,0,0,0,0,0,,,,,,,,
-0.06,0,0,0,0,0,0,,,,,,,,
-0.04,0,0,0,0,0,0,,,,,,,,
-0.02,0,0,0,0,0,0,,,,,,,,
0,1.554,22,0,0,0,-0.583,,,,,,,,
0.02,1.551,22,0,0,0,-0.583,,,,,,,,
0.04,3.361,22,0.026,0,0.002,-0.583,,,,,,,,
0.06,6.089,22,0.067,0,0.003,-0.583,,,,,,,,
0.08,7.362,22,0.085,0,0.005,-0.583,,,,,,,,
0.1,7.722,22,0.089,0,0.007,-0.583,,,,,,,,
0.12,7.799,22,0.089,0,0.009,-0.583,,,,,,,,
0.14,9.667,22,0.114,0,0.012,-0.583,,,,,,,,
0.16,10.67,22,0.128,0,0.014,-0.583,,,,,,,,
0.18,9.319,22,0.105,0,0.016,-0.583,,,,,,,,
0.2,8.517,22,0.091,0,0.017,-0.583,,,,,,,,
0.22,8.345,22,0.087,0,0.019,-0.583,,,,,,,,
0.24,6.885,22,0.086,0.106,0.021,-0.576,,,,,,,,
0.26,2.714,22,0.087,0.4,0.023,-0.56,,,,,,,,
0.28,1.137,22,0.087,0.517,0.024,-0.555,,,,,,,,
0.3,2.851,22,0.087,0.406,0.026,-0.548,,,,,,,,
0.32,4.062,22,0.087,0.329,0.028,-0.543,,,,,,,,
0.34,1.936,22,0.061,0.357,0.028,-0.532,,,,,,,,
0.36,-0.416,22,0.047,0.462,0.03,-0.522,,,,,,,,
0.38,-1.06,22,0.043,0.488,0.03,-0.513,,,,,,,,
0.4,-1.349,22,0.043,0.513,0.031,-0.501,,,,,,,,
0.42,-2.637,20.369,0.043,0.602,0.031,-0.487,,,,,,,,
0.44,-3.565,17.578,0.044,0.673,0.033,-0.473,,,,,,,,
0.46,-3.567,17.088,0.044,0.672,0.033,-0.461,,,,,,,,
0.48,-3.332,16.813,0.044,0.661,0.035,-0.447,,,,,,,,
0.5,-0.685,18.553,0.07,0.603,0.037,-0.438,,,,,,,,
0.52,-3.005,14.063,0.058,0.705,0.037,-0.415,,,,,,,,
0.54,-5.27,9.856,0.047,0.821,0.038,-0.403,,,,,,,,
0.56,-4.709,10.836,0.044,0.763,0.038,-0.388,,,,,,,,
0.58,-5.131,8.977,0.043,0.795,0.04,-0.37,,,,,,,,
0.6,-3.698,7.626,0.07,0.82,0.042,-0.354,,,,,,,,
0.62,-4.637,6.326,0.058,0.829,0.042,-0.337,,,,,,,,
0.64,-5.627,4.489,0.047,0.857,0.044,-0.319,,,,,,,,
0.66,-6.102,3.092,0.044,0.87,0.044,-0.302,,,,,,,,
0.68,-5.725,2.999,0.043,0.847,0.045,-0.286,,,,,,,,
0.7,-5.147,3.418,0.043,0.807,0.045,-0.271,,,,,,,,
0.72,-6.984,2.006,0.017,0.814,0.045,-0.253,,,,,,,,
0.74,-6.255,0.957,0.029,0.824,0.047,-0.237,,,,,,,,
0.76,-4.904,1.782,0.04,0.776,0.047,-0.223,,,,,,,,
0.78,-5.991,1.583,0.017,0.748,0.047,-0.208,,,,,,,,
0.8,-4.965,1.182,0.03,0.74,0.049,-0.194,,,,,,,,
0.82,-3.947,1.303,0.04,0.714,0.049,-0.18,,,,,,,,
0.84,-4.86,1.682,0.017,0.674,0.049,-0.168,,,,,,,,
0.86,-5.125,2.257,0.004,0.63,0.049,-0.155,,,,,,,,
0.88,-4.759,3.024,-0.001,0.586,0.049,-0.145,,,,,,,,
0.9,-4.149,3.803,-0.001,0.542,0.049,-0.134,,,,,,,,
0.92,-2.067,3.989,0.026,0.525,0.051,-0.124,,,,,,,,
0.94,-0.711,4.53,0.041,0.495,0.051,-0.115,,,,,,,,
0.96,-3.016,5.804,-0.008,0.429,0.049,-0.108,,,,,,,,
0.98,-4.01,7.006,-0.037,0.371,0.049,-0.101,,,,,,,,
1,-2.139,8.366,-0.019,0.323,0.049,-0.096,,,,,,,,
1.02,-0.607,9.564,-0.005,0.279,0.049,-0.091,,,,,,,,
1.04,0.339,10.78,0,0.236,0.049,-0.087,,,,,,,,
1.06,1.79,13.836,0.001,0.14,0.049,-0.087,,,,,,,,
1.08,2.436,15.084,0,0.094,0.049,-0.084,,,,,,,,
1.1,2.59,15.475,0,0.084,0.049,-0.084,,,,,,,,
1.12,3.356,17.153,0,0.031,0.049,-0.084,,,,,,,,
1.14,3.756,18.035,0,0.005,0.049,-0.084,,,,,,,,
1.16,3.484,17.37,0,0.025,0.049,-0.082,,,,,,,,
1.18,4.068,18.851,0,-0.014,0.049,-0.086,,,,,,,,
