Tiempo ,PITCH,YAW,E_YAW,E_PITCH
-0.4,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0
0.04,0.0,0.0,6.0,0.0
0.06,0.0,0.0,6.0,0.0
0.08,0.0,0.0,6.0,0.0
0.1,0.0,0.0,6.0,0.0
0.12,0.0,0.0,6.0,0.0
0.14,0.0,0.0,6.0,0.0
0.16,0.0,-0.002,6.0,0.0
0.18,0.0,-0.002,6.0,0.0
0.2,0.0,-0.002,6.0,0.0
0.22,0.0,-0.002,6.0,0.0
0.24,0.0,-0.002,6.0,0.0
0.26,0.0,-0.002,6.0,0.0
0.28,0.0,-0.002,6.0,0.0
0.3,0.0,-0.002,6.0,0.0
0.32,0.0,-0.002,6.0,0.0
0.34,0.0,-0.003,6.0,0.0
0.36,0.0,-0.003,6.0,0.0
0.38,0.0,-0.003,6.0,0.0
0.4,0.0,-0.003,6.0,0.0
0.42,0.0,-0.005,6.0,0.0
0.44,0.0,-0.005,6.0,0.0
0.46,0.0,-0.005,6.0,0.0
0.48,0.0,-0.007,6.0,0.0
0.5,0.0,-0.007,6.0,0.0
0.52,0.0,-0.007,6.0,0.0
0.54,0.0,-0.009,6.0,0.0
0.56,0.0,-0.01,6.0,0.0
0.58,0.0,-0.01,6.0,0.0
0.6,0.0,-0.012,6.0,0.0
0.62,0.0,-0.014,6.0,0.0
