Tiempo ,U_YAW,U_PITCH,W_YAW,W_PITCH,YAW,PITCH,,,,,,,
-0.4,0,0,0,0,0,0,,,,,,,
-0.38,0,0,0,0,0,0,,,,,,,
-0.36,0,0,0,0,0,0,,,,,,,
-0.34,0,0,0,0,0,0,,"Mp

",,,,,
-0.32,0,0,0,0,0,0,,,,,,,
-0.3,0,0,0,0,0,0,,,,,,,
-0.28,0,0,0,0,0,0,,Pert,Mp,Ts,Ess_Pitch,,Ess_Yaw
-0.26,0,0,0,0,0,0,,,0.007,6.1,0.007,-0.002,
-0.24,0,0,0,0,0,0,,20,20,20,4,10,20
-0.22,0,0,0,0,0,0,,,,,,,
-0.2,0,0,0,0,0,0,,91,,,,,
-0.18,0,0,0,0,0,0,,93.25,,,,,
-0.16,0,0,0,0,0,0,,,,,,,
-0.14,0,0,0,0,0,0,,,,,,,
-0.12,0,0,0,0,0,0,,,,,,,
-0.1,0,0,0,0,0,0,,,,,,,
-0.08,0,0,0,0,0,0,,,,,,,
-0.06,0,0,0,0,0,0,,,,,,,
-0.04,0,0,0,0,0,0,,,,,,,
-0.02,0,0,0,0,0,0,,,,,,,
0,5.808,22,0,0,0,-0.583,,,,,,,
0.02,5.887,22,0,0,0,-0.583,,,,,,,
0.04,5.965,22,0,0,0,-0.583,,,,,,,
0.06,7.39,22,0.026,0,0.002,-0.583,,,,,,,
0.08,9.488,22,0.067,0,0.003,-0.583,,,,,,,
0.1,10.52,22,0.085,0,0.005,-0.583,,,,,,,
0.12,10.881,22,0.089,0,0.007,-0.583,,,,,,,
0.14,12,22,0.115,0,0.01,-0.583,,,,,,,
0.16,12,22,0.128,0,0.012,-0.583,,,,,,,
0.18,10.943,22,0.079,0,0.012,-0.583,,,,,,,
0.2,9.775,22,0.051,0,0.014,-0.583,,,,,,,
0.22,10.817,22,0.069,0,0.016,-0.583,,,,,,,
0.24,11.654,22,0.083,0,0.017,-0.583,,,,,,,
0.26,10.72,22,0.061,0,0.017,-0.583,,,,,,,
0.28,8.914,22,0.021,0,0.017,-0.583,,,,,,,
0.3,8.129,22,0.003,0,0.017,-0.583,,,,,,,
0.32,8.019,22,-0.002,0,0.017,-0.583,,,,,,,
0.34,6.779,22,-0.028,0,0.016,-0.583,,,,,,,
0.36,5.977,22,-0.041,0.026,0.016,-0.581,,,,,,,
0.38,4.151,22,-0.045,0.199,0.014,-0.571,,,,,,,
0.4,1.131,22,-0.044,0.526,0.014,-0.553,,,,,,,
0.42,-5.15,13.277,-0.044,1.178,0.012,-0.51,,,,,,,
0.44,-12,1.47,-0.07,1.773,0.01,-0.473,,,,,,,
0.46,-10.95,4.968,-0.084,1.551,0.009,-0.459,,,,,,,
0.48,-5.038,13.977,-0.062,1.003,0.009,-0.445,,,,,,,
