Tiempo ;CONTROL;PID;ANGULO;REFERENCIA;PERTURBACION;;;;;;;
-0,4;0;0;0;0;0;;;;;;;
-0,38;0;0;0;0;0;;;;;;;
-0,36;0;0;0;0;0;;Valor máximo;Valor mínimo;Ess en max;Ess en min;Valor máximo en transitorio;Valor en t=6
-0,34;0;0;0;0;0;;0.604;0.597;0,666666667;0,5;0,599;0,599
-0,32;0;0;0;0;0;;;;;;;
-0,3;0;0;0;0;0;;;;;;;
-0,28;0;0;0;0;0;;;;;;;
-0,26;0;0;0;0;0;;;;;;;
-0,24;0;0;0;0;0;;;;;;;
-0,22;0;0;0;0;0;;;;;;;
-0,2;0;0;0;0;0;;;;;;;
-0,18;0;0;0;0;0;;;;;;;
-0,16;0;0;0;0;0;;;;;;;
-0,14;0;0;0;0;0;;;;;;;
-0,12;0;0;0;0;0;;;;;;;
-0,1;0;0;0;0;0;;;;;;;
-0,08;0;0;0;0;0;;;;;;;
-0,06;0;0;0;0;0;;;;;;;
-0,04;0;0;0;0;0;;;;;;;
-0,02;0;0;0;0;0;;;;;;;
0;0;-0,002;0,002;0;0;;;;;;;
0,02;0;-0,002;0,002;0;0;;;;;;;
0,04;0;-0,002;0,002;0;0;;;;;;;
0,06;0;-0,002;0,002;0;0;;;;;;;
0,08;0;-0,002;0,002;0;0;;;;;;;
0,1;0;-0,002;0,002;0;0;;;;;;;
0,12;0;-0,002;0,002;0;0;;;;;;;
0,14;0;-0,002;0,002;0;0;;;;;;;
0,16;0,043;0,043;0;0;0;;;;;;;
0,18;0,03;0,03;0;0;0;;;;;;;
0,2;0,021;0,021;0;0;0;;;;;;;
0,22;0,015;0,015;0;0;0;;;;;;;
0,24;0,011;0,011;0;0;0;;;;;;;
0,26;0,007;0,007;0;0;0;;;;;;;
0,28;0,005;0,005;0;0;0;;;;;;;
0,3;0,004;0,004;0;0;0;;;;;;;
0,32;0,002;0,002;0;0;0;;;;;;;
0,34;0,002;0,002;0;0;0;;;;;;;
0,36;0,001;0,001;0;0;0;;;;;;;
0,38;0,001;0,001;0;0;0;;;;;;;
0,4;0;0;0;0;0;;;;;;;
0,42;0;0;0;0;0;;;;;;;
0,44;0;0;0;0;0;;;;;;;
0,46;0;0;0;0;0;;;;;;;
0,48;0;0;0;0;0;;;;;;;
0,5;0;0;0;0;0;;;;;;;
0,52;0;0;0;0;0;;;;;;;
0,54;0;0;0;0;0;;;;;;;
0,56;0;-0,001;0;0;0;;;;;;;
0,58;0;-0,001;0;0;0;;;;;;;
0,6;0;-0,001;0;0;0;;;;;;;
0,62;0;-0,001;0;0;0;;;;;;;
0,64;0;-0,001;0;0;0;;;;;;;
0,66;0;-0,001;0;0;0;;;;;;;
0,68;0;-0,001;0;0;0;;;;;;;
0,7;0;-0,001;0;0;0;;;;;;;
0,72;0;-0,001;0;0;0;;;;;;;
0,74;0;-0,001;0;0;0;;;;;;;
0,76;0;-0,001;0;0;0;;;;;;;
0,78;0;-0,046;0,002;0;0;;;;;;;
0,8;0;-0,033;0,002;0;0;;;;;;;
0,82;0;-0,025;0,002;0;0;;;;;;;
0,84;0;-0,018;0,002;0;0;;;;;;;
0,86;0;-0,014;0,002;0;0;;;;;;;
0,88;0;-0,011;0,002;0;0;;;;;;;
0,9;0;-0,009;0,002;0;0;;;;;;;
0,92;0;-0,007;0,002;0;0;;;;;;;
0,94;0;-0,006;0,002;0;0;;;;;;;
0,96;0;-0,005;0,002;0;0;;;;;;;
0,98;0;-0,005;0,002;0;0;;;;;;;
1;0;-0,004;0,002;0;0;;;;;;;
1,02;0;-0,004;0,002;0;0;;;;;;;
1,04;0,02;0,02;0,002;0,6;0;;;;;;;
1,06;0,045;0,045;0,002;0,6;0;;;;;;;
1,08;0,069;0,069;0,002;0,6;0;;;;;;;
1,1;0,093;0,093;0,002;0,6;0;;;;;;;
1,12;0,118;0,118;0,002;0,6;0;;;;;;;
1,14;0,142;0,142;0,002;0,6;0;;;;;;;
1,16;0,166;0,166;0,002;0,6;0;;;;;;;
1,18;0,19;0,19;0,002;0,6;0;;;;;;;
1,2;0,214;0,214;0,002;0,6;0;;;;;;;
1,22;0,239;0,239;0,002;0,6;0;;;;;;;
1,24;0,263;0,263;0,002;0,6;0;;;;;;;
1,26;0,287;0,287;0,002;0,6;0;;;;;;;
1,28;0,311;0,311;0,002;0,6;0;;;;;;;
1,3;0,335;0,335;0,002;0,6;0;;;;;;;
1,32;0,36;0,36;0,002;0,6;0;;;;;;;
1,34;0,384;0,384;0,002;0,6;0;;;;;;;
1,36;0,408;0,408;0,002;0,6;0;;;;;;;
1,38;0,432;0,432;0,002;0,6;0;;;;;;;
1,4;0,456;0,456;0,002;0,6;0;;;;;;;
1,42;0,481;0,481;0,002;0,6;0;;;;;;;
1,44;0,505;0,505;0,002;0,6;0;;;;;;;
