Tiempo ;CONTROL;PID;ANGULO;REFERENCIA;PERTURBACION;;;;;;;
-0,4;0.0;0.0;0;0;0.0;;;;;;;
-0,38;0.0;0.0;0;0;0.0;;;;;;;
-0,36;0.0;0.0;0;0;0.0;;;;;;;
-0,34;0.0;0.0;0;0;0.0;;;;;;;
-0,32;0.0;0.0;0;0;0.0;;;;;;;
-0,3;0.0;0.0;0;0;0.0;;;;;;;
-0,28;0.0;0.0;0;0;0.0;;;;;;;
-0,26;0.0;0.0;0;0;0.0;;;;;;;
-0,24;0.0;0.0;0;0;0.0;;;;;;;
-0,22;0.0;0.0;0;0;0.0;;;;;;;
-0,2;0.0;0.0;0;0;0.0;;;;;;;
-0,18;0.0;0.0;0;0;0.0;;;;;;;
-0,16;0.0;0.0;0;0;0.0;;;;;;;
-0,14;0.0;0.0;0;0;0.0;;;;;;;
-0,12;0.0;0.0;0;0;0.0;;;;;;;
-0,1;0.0;0.0;0;0;0.0;;;;;;;
-0,08;0.0;0.0;0;0;0.0;;;;;;;
-0,06;0.0;0.0;0;0;0.0;;;;;;;
-0,04;0.0;0.0;0;0;0.0;;;;;;;
-0,02;0.0;0.0;0;0;0.0;;;;;;;
0;0.0;0.0;0;0;0.0;;Minimo;Maximo;error_max;error_min;Valor en 6s;Sobreimpulso
0,02;0.0;0.0;0;0;0.0;;0,59;0,6;0;1,666667;0,59;0,613
0,04;2.0;3.103;0;0,6;0.0;;;;;;;2,166666667
0,06;2.0;2.155;0;0,6;0.0;;;;;;;
0,08;1.474;1.474;0;0,6;0.0;;;;;;;
0,1;0.986;0.986;0;0,6;0.0;;;;;;;
0,12;0.638;0.638;0;0,6;0.0;;;;;;;
0,14;0.391;0.391;0;0,6;0.0;;;;;;;
0,16;0.209;0.209;0,002;0,6;0.0;;;;;;;
0,18;0.091;0.091;0,002;0,6;0.0;;;;;;;
0,2;0.002;0.002;0,003;0,6;0.0;;;;;;;
0,22;0.0;-0.056;0,005;0,6;0.0;;;;;;;
0,24;0.0;-0.093;0,007;0,6;0.0;;;;;;;
0,26;0.0;-0.104;0,007;0,6;0.0;;;;;;;
0,28;0.0;-0.117;0,009;0,6;0.0;;;;;;;
