Tiempo ;CONTROL;REI;VELOCIDAD;ANGULO;REFERENCIA;PERTURBACION;;;;;;;;
-0,4;0;0;0;0;0;0;;;;;;;;
-0,38;0;0;0;0;0;0;;;;;;;;
-0,36;0;0;0;0;0;0;;;;;;;;
-0,34;0;0;0;0;0;0;;;;;;;;
-0,32;0;0;0;0;0;0;;;;;;;;
-0,3;0;0;0;0;0;0;;;;;;;;
-0,28;0;0;0;0;0;0;;;;;;;;
-0,26;0;0;0;0;0;0;;;;;;;;
-0,24;0;0;0;0;0;0;;;;;;;;
-0,22;0;0;0;0;0;0;;;;;;;;
-0,2;0;0;0;0;0;0;;;;;;;;
-0,18;0;0;0;0;0;0;;;;;;;;
-0,16;0;0;0;0;0;0;;;;;;;;
-0,14;0;0;0;0;0;0;;;;;;;;
-0,12;0;0;0;0;0;0;;;;;;;;
-0,1;0;0;0;0;0;0;;;;;;;;
-0,08;0;0;0;0;0;0;;;;;;;;
-0,06;0;0;0;0;0;0;;;;;;;;
-0,04;0;0;0;0;0;0;;;;;;;;
-0,02;0;0;0;0;0;0;;error estado estacionario;;;;;;tiempo estabilizacion
0;0;0;0;0;0;0;;max;min;;;sobreimpulso;;0,597
0,02;0;0;0;0;0;0;;0,602;0,597;valor;;0,599;;
0,04;0,028;0,028;0;0;0,6;0;;0,333333333;0,5;porcentaje de error;;;;
0,06;0,056;0,056;0;0;0,6;0;;;;;;;;
0,08;0,084;0,084;0;0;0,6;0;;;;;;;;
0,1;0,112;0,112;0;0;0,6;0;;;;;;;;
0,12;0,141;0,141;0;0;0,6;0;;;;;;;;
0,14;0,169;0,169;0;0;0,6;0;;;;;;;;
0,16;0,197;0,197;0;0;0,6;0;;;;;;;;
0,18;0,225;0,225;0;0;0,6;0;;;;;;;;
0,2;0,253;0,253;0;0;0,6;0;;;;;;;;
0,22;0,281;0,281;0;0;0,6;0;;;;;;;;
0,24;0,309;0,309;0;0;0,6;0;;;;;;;;
0,26;0,337;0,337;0;0;0,6;0;;;;;;;;
0,28;0,365;0,365;0;0;0,6;0;;;;;;;;
0,3;0,393;0,393;0;0;0,6;0;;;;;;;;
0,32;0,422;0,422;0;0;0,6;0;;;;;;;;
0,34;0,45;0,45;0;0;0,6;0;;;;;;;;
0,36;0,478;0,478;0;0;0,6;0;;;;;;;;
0,38;0,506;0,506;0;0;0,6;0;;;;;;;;
0,4;0,5;0,5;0,026;0,002;0,6;0;;;;;;;;
0,42;0,511;0,511;0,041;0,002;0,6;0;;;;;;;;
0,44;0,532;0,532;0,044;0,003;0,6;0;;;;;;;;
0,46;0,56;0,56;0,045;0,003;0,6;0;;;;;;;;
0,48;0,586;0,586;0,044;0,005;0,6;0;;;;;;;;
0,5;0,58;0,58;0,07;0,007;0,6;0;;;;;;;;
