Tiempo ;REI;V_ANGULA;V_CARRIT;ANGULO;CARRITO;REFERENC;;;;;;;;
-0,4;0;0;0;0;0;0;;;;;;MAX POSI;MIN ANGULO;
-0,38;0;0;0;0;0;0;;;-0,131;0,499;;0,499;-0,131;0,494
-0,36;0;0;0;0;0;0;;;0,494;0,494;;;;
-0,34;0;0;0;0;0;0;;;;;;ERROR MAX;0,495;
-0,32;0;0;0;0;0;0;;;;;;0,499;;
-0,3;0;0;0;0;0;0;;;;;;;;
-0,28;0;0;0;0;0;0;;;;;;;;
-0,26;0;0;0;0;0;0;;;;;;;;
-0,24;0;0;0;0;0;0;;;;;;;;
-0,22;0;0;0;0;0;0;;;;;;;;
-0,2;0;0;0;0;0;0;;;;;;;;
-0,18;0;0;0;0;0;0;;;;;;;;
-0,16;0;0;0;0;0;0;;;;;;;;
-0,14;0;0;0;0;0;0;;;;;;;;
-0,12;0;0;0;0;0;0;;;;;;;;
-0,1;0;0;0;0;0;0;;;;;;;;
-0,08;0;0;0;0;0;0;;;;;;;;
-0,06;0;0;0;0;0;0;;;;;;;;
-0,04;0;0;0;0;0;0;;;;;;;;
-0,02;0;0;0;0;0;0;;;;;;;;
0;0,271;0;0;0;0;0,5;;;;;;;;
0,02;0,542;0;0;0;0;0,5;;;;;;;;
0,04;0,813;0;0;0;0;0,5;;;;;;;;
0,06;1,084;0;0;0;0;0,5;;;;;;;;
0,08;1,354;0;0;0;0;0,5;;;;;;;;
0,1;1,619;0;0,001;0;0;0,5;;;;;;;;
0,12;1,874;0;0,004;0;0;0,5;;;;;;;;
0,14;1,915;-0,133;0,008;-0,005;0;0,5;;;;;;;;
0,16;1,93;-0,275;0,015;-0,01;0,001;0,5;;;;;;;;
0,18;2,046;-0,273;0,021;-0,016;0,001;0,5;;;;;;;;
0,2;2,113;-0,306;0,023;-0,023;0,002;0,5;;;;;;;;
0,22;2,013;-0,441;0,028;-0,033;0,002;0,5;;;;;;;;
0,24;1,938;-0,536;0,034;-0,044;0,003;0,5;;;;;;;;
0,26;2,085;-0,442;0,034;-0,051;0,004;0,5;;;;;;;;
