=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.10 11:06:14 =~=~=~=~=~=~=~=~=~=~=~=

Tiempo ,REI,V_ANGULA,V_CARRIT,ANGULO,CARRITO,REFERENC

 -0.400,0,0,0,0,0,0
 -0.380,0,0,0,0,0,0
 -0.360,0,0,0,0,0,0
 -0.340,0,0,0,0,0,0
 -0.320,0,0,0,0,0,0
 -0.300,0,0,0,0,0,0
 -0.280,0,0,0,0,0,0
 -0.260,0,0,0,0,0,0
 -0.240,0,0,0,0,0,0
 -0.220,0,0,0,0,0,0
 -0.200,0,0,0,0,0,0
 -0.180,0,0,0,0,0,0
 -0.160,0,0,0,0,0,0
 -0.140,0,0,0,0,0,0
 -0.120,0,0,0,0,0,0
 -0.100,0,0,0,0,0,0
 -0.080,0,0,0,0,0,0
 -0.060,0,0,0,0,0,0
 -0.040,0,0,0,0,0,0
 -0.020,0,0,0,0,0,0
  0.000, 0.183, 0.000, 0.000,-0.000,-0.000, 0.500
  0.020, 0.365, 0.000, 0.000,-0.000,-0.000, 0.500
  0.040, 0.548, 0.000, 0.000,-0.000,-0.000, 0.500
  0.060, 0.730, 0.000, 0.000,-0.000,-0.000, 0.500
  0.080, 0.913, 0.000, 0.000,-0.000,-0.000, 0.500
  0.100, 1.092, 0.000, 0.001,-0.000, 0.000, 0.500
  0.120, 1.267, 0.000, 0.002,-0.000, 0.000, 0.500
  0.140, 1.434,-0.044, 0.003,-0.002, 0.000, 0.500
  0.160, 1.599,-0.092, 0.004,-0.003, 0.000, 0.500
  0.180, 1.724,-0.135, 0.008,-0.007, 0.000, 0.500
  0.200, 1.828,-0.223, 0.014,-0.012, 0.001, 0.500
  0.220, 1.930,-0.270, 0.018,-0.017, 0.001, 0.500
  0.240, 2.029,-0.265, 0.020,-0.023, 0.002, 0.500
  0.260, 2.086,-0.350, 0.025,-0.031, 0.002, 0.500
  0.280, 2.143,-0.445, 0.031,-0.040, 0.003, 0.500
  0.300, 2.202,-0.400, 0.032,-0.047, 0.003, 0.500
  0.320, 2.262,-0.389, 0.032,-0.056, 0.004, 0.500
  0.340, 2.359,-0.347, 0.030,-0.061, 0.005, 0.500
  0.360, 2.420,-0.301, 0.031,-0.068, 0.005, 0.500
  0.380, 2.489,-0.302, 0.036,-0.073, 0.006, 0.500
  0.400, 2.548,-0.306, 0.038,-0.080, 0.007, 0.500
  0.420, 2.650,-0.261, 0.038,-0.084, 0.008, 0.500
  0.440, 2.719,-0.214, 0.039,-0.089, 0.008, 0.500
  0.460, 2.764,-0.303, 0.046,-0.096, 0.009, 0.500
  0.480, 2.812,-0.313, 0.052,-0.101, 0.010, 0.500
  0.500, 2.885,-0.217, 0.052,-0.105, 0.011, 0.500
  0.520, 2.928,-0.210, 0.057,-0.110, 0.013, 0.500
  0.540, 2.975,-0.262, 0.063,-0.115, 0.014, 0.500
  0.560, 3.019,-0.266, 0.066,-0.120, 0.015, 0.500
  0.580, 3.060,-0.218, 0.071,-0.124, 0.017, 0.500
  0.600, 3.158,-0.081, 0.068,-0.124, 0.018, 0.500
  0.620, 3.229,-0.032, 0.069,-0.126, 0.019, 0.500
  0.640, 3.340, 0.005, 0.071,-0.124, 0.021, 0.500
  0.660, 3.432, 0.092, 0.073,-0.122, 0.022, 0.500
  0.680, 3.544, 0.094, 0.076,-0.120, 0.024, 0.500
  0.700, 3.664, 0.176, 0.078,-0.115, 0.026, 0.500
  0.720, 3.792, 0.270, 0.080,-0.110, 0.027, 0.500
  0.740, 3.918, 0.269, 0.084,-0.105, 0.029, 0.500
  0.760, 4.073, 0.306, 0.085,-0.098, 0.030, 0.500
  0.780, 4.204, 0.308, 0.087,-0.093, 0.032, 0.500
  0.800, 4.364, 0.394, 0.091,-0.082, 0.034, 0.500
  0.820, 4.458, 0.311, 0.095,-0.080, 0.036, 0.500
  0.840, 4.627, 0.298, 0.100,-0.070, 0.038, 0.500
  0.860, 4.750, 0.438, 0.099,-0.063, 0.040, 0.500
  0.880, 4.829, 0.226, 0.108,-0.061, 0.042, 0.500
  0.900, 4.942, 0.245, 0.116,-0.052, 0.045, 0.500
  0.920, 5.072, 0.353, 0.109,-0.047, 0.047, 0.500
  0.940, 5.179, 0.269, 0.113,-0.042, 0.049, 0.500
  0.960, 5.239, 0.210, 0.122,-0.038, 0.052, 0.500
  0.980, 5.349, 0.258, 0.122,-0.031, 0.054, 0.500
  1.000, 5.468, 0.355, 0.119,-0.024, 0.056, 0.500
  1.020, 5.539, 0.224, 0.123,-0.023, 0.059, 0.500
  1.040, 5.546, 0.030, 0.137,-0.023, 0.062, 0.500
  1.060, 5.590, 0.072, 0.140,-0.019, 0.065, 0.500
  1.080, 5.722, 0.269, 0.128,-0.012, 0.067, 0.500
  1.100, 5.803, 0.278, 0.125,-0.009, 0.070, 0.500
  1.120, 5.843, 0.129, 0.134,-0.007, 0.072, 0.500
  1.140, 5.826,-0.015, 0.144,-0.009, 0.075, 0.500
  1.160, 5.868,-0.012, 0.144,-0.007, 0.078, 0.500
  1.180, 5.856, 0.000, 0.145,-0.009, 0.081, 0.500
  1.200, 5.866,-0.043, 0.148,-0.009, 0.084, 0.500
  1.220, 5.866,-0.047, 0.147,-0.010, 0.087, 0.500
  1.240, 5.853,-0.088, 0.150,-0.012, 0.090, 0.500
  1.260, 5.829,-0.091, 0.152,-0.014, 0.093, 0.500
  1.280, 5.824,-0.087, 0.151,-0.016, 0.096, 0.500
  1.300, 5.817,-0.087, 0.150,-0.017, 0.099, 0.500
  1.320, 5.810,-0.043, 0.150,-0.017, 0.102, 0.500
  1.340, 5.798, 0.004, 0.151,-0.017, 0.105, 0.500
  1.360, 5.797,-0.041, 0.151,-0.019, 0.108, 0.500
  1.380, 5.795,-0.047, 0.151,-0.019, 0.111, 0.500
  1.400, 5.801, 0.045, 0.150,-0.017, 0.114, 0.500
  1.420, 5.785, 0.007, 0.150,-0.019, 0.117, 0.500
  1.440, 5.793,-0.003, 0.153,-0.017, 0.120, 0.500
  1.460, 5.800, 0.044, 0.149,-0.017, 0.123, 0.500
  1.480, 5.808, 0.047, 0.150,-0.016, 0.126, 0.500
  1.500, 5.821, 0.088, 0.149,-0.014, 0.129, 0.500
  1.520, 5.821, 0.091, 0.150,-0.012, 0.132, 0.500
  1.540, 5.853, 0.132, 0.150,-0.009, 0.135, 0.500
  1.560, 5.871, 0.134, 0.147,-0.007, 0.138, 0.500
  1.580, 5.871, 0.087, 0.151,-0.005, 0.141, 0.500
  1.600, 5.921, 0.172, 0.148,-0.000, 0.144, 0.500
  1.620, 5.953, 0.226, 0.144, 0.003, 0.147, 0.500
  1.640, 5.955, 0.134, 0.149, 0.005, 0.150, 0.500
  1.660, 5.984, 0.079, 0.148, 0.007, 0.153, 0.500
  1.680, 5.969, 0.083, 0.150, 0.009, 0.156, 0.500
  1.700, 5.966, 0.088, 0.152, 0.010, 0.159, 0.500
  1.720, 5.952, 0.043, 0.152, 0.010, 0.162, 0.500
  1.740, 5.932,-0.004, 0.155, 0.010, 0.165, 0.500
  1.760, 5.893,-0.048, 0.155, 0.009, 0.168, 0.500
  1.780, 5.862,-0.047, 0.157, 0.009, 0.171, 0.500
  1.800, 5.849, 0.001, 0.153, 0.009, 0.174, 0.500
  1.820, 5.808,-0.040, 0.153, 0.007, 0.178, 0.500
  1.840, 5.780,-0.047, 0.154, 0.007, 0.181, 0.500
  1.860, 5.719,-0.089, 0.155, 0.003, 0.184, 0.500
  1.880, 5.704,-0.046, 0.154, 0.005, 0.187, 0.500
