Tiempo ,Entrada,ANGULO,POSICION
-0.4,0.0,0.0,0.0
-0.38,0.0,0.0,0.0
-0.36,0.0,0.0,0.0
-0.34,0.0,0.0,0.0
-0.32,0.0,0.0,0.0
-0.3,0.0,0.0,0.0
-0.28,0.0,0.0,0.0
-0.26,0.0,0.0,0.0
-0.24,0.0,0.0,0.0
-0.22,0.0,0.0,0.0
-0.2,0.0,0.0,0.0
-0.18,0.0,0.0,0.0
-0.16,0.0,0.0,0.0
-0.14,0.0,0.0,0.0
-0.12,0.0,0.0,0.0
-0.1,0.0,0.0,0.0
-0.08,0.0,0.0,0.0
-0.06,0.0,0.0,0.0
-0.04,0.0,0.0,0.0
-0.02,0.0,0.0,0.0
0.0,0.0,-0.002,-0.0
0.02,0.0,-0.002,-0.0
0.04,0.3,-0.002,-0.0
0.06,0.6,-0.002,-0.0
0.08,0.9,-0.002,-0.0
0.1,1.2,-0.002,-0.0
0.12,1.5,-0.002,-0.0
0.14,1.8,-0.002,-0.0
0.16,2.1,-0.002,0.0
0.18,2.4,-0.002,0.0
0.2,2.7,-0.002,0.0
0.22,3.0,-0.003,0.0
0.24,3.3,-0.012,0.001
0.26,3.6,-0.019,0.001
0.28,3.9,-0.028,0.002
0.3,4.2,-0.042,0.003
0.32,4.5,-0.056,0.004
0.34,4.8,-0.07,0.005
0.36,5.1,-0.084,0.006
0.38,5.4,-0.101,0.007
0.4,5.7,-0.117,0.009
0.42,6.0,-0.136,0.01
0.44,6.3,-0.155,0.012
0.46,6.6,-0.176,0.014
0.48,6.9,-0.201,0.016
0.5,7.2,-0.22,0.019
0.52,7.5,-0.241,0.021
0.54,7.5,-0.264,0.024
0.56,7.5,-0.283,0.027
0.58,7.5,-0.3,0.03
0.6,7.5,-0.316,0.033
0.62,7.5,-0.326,0.037
0.64,7.5,-0.333,0.04
0.66,7.5,-0.333,0.043
0.68,7.5,-0.335,0.046
0.7,7.5,-0.333,0.05
0.72,7.5,-0.323,0.053
0.74,7.5,-0.311,0.057
0.76,7.5,-0.291,0.06
0.78,7.5,-0.269,0.063
0.8,7.5,-0.246,0.067
0.82,7.5,-0.216,0.07
0.84,7.5,-0.188,0.074
0.86,7.5,-0.155,0.077
0.88,7.5,-0.122,0.081
0.9,7.5,-0.086,0.085
0.92,7.5,-0.049,0.088
0.94,7.5,-0.012,0.092
0.96,7.5,0.023,0.096
0.98,7.5,0.059,0.099
1.0,7.5,0.093,0.103
1.02,7.5,0.124,0.107
1.04,7.5,0.161,0.11
1.06,7.5,0.188,0.114
1.08,7.5,0.215,0.118
1.1,7.5,0.237,0.122
1.12,7.5,0.258,0.125
1.14,7.5,0.279,0.129
1.16,7.5,0.288,0.133
1.18,7.5,0.3,0.136
1.2,7.5,0.307,0.14
1.22,7.5,0.305,0.143
