Tiempo ,Entrada,ANGULO,POSICION
-0.4,0.0,0.0,0.0
-0.38,0.0,0.0,0.0
-0.36,0.0,0.0,0.0
-0.34,0.0,0.0,0.0
-0.32,0.0,0.0,0.0
-0.3,0.0,0.0,0.0
-0.28,0.0,0.0,0.0
-0.26,0.0,0.0,0.0
-0.24,0.0,0.0,0.0
-0.22,0.0,0.0,0.0
-0.2,0.0,0.0,0.0
-0.18,0.0,0.0,0.0
-0.16,0.0,0.0,0.0
-0.14,0.0,0.0,0.0
-0.12,0.0,0.0,0.0
-0.1,0.0,0.0,0.0
-0.08,0.0,0.0,0.0
-0.06,0.0,0.0,0.0
-0.04,0.0,0.0,0.0
-0.02,0.0,0.0,0.0
0.0,0.0,-0.0,-0.0
0.02,0.0,-0.0,-0.0
0.04,0.3,-0.0,-0.0
0.06,0.6,-0.0,-0.0
0.08,0.9,-0.0,-0.0
0.1,1.2,-0.0,-0.0
0.12,1.5,-0.0,-0.0
0.14,1.8,-0.0,0.0
0.16,2.1,-0.002,0.0
0.18,2.4,-0.005,0.0
0.2,2.7,-0.01,0.001
0.22,3.0,-0.017,0.001
0.24,3.3,-0.026,0.002
0.26,3.6,-0.038,0.002
0.28,3.9,-0.051,0.003
0.3,4.2,-0.063,0.004
0.32,4.5,-0.077,0.005
0.34,4.8,-0.093,0.007
0.36,5.1,-0.106,0.008
0.38,5.4,-0.126,0.009
0.4,5.7,-0.143,0.011
0.42,6.0,-0.162,0.013
0.44,6.3,-0.183,0.015
0.46,6.6,-0.206,0.017
0.48,6.9,-0.227,0.02
0.5,7.2,-0.246,0.023
0.52,7.5,-0.264,0.025
0.54,7.5,-0.279,0.028
0.56,7.5,-0.295,0.031
0.58,7.5,-0.309,0.034
0.6,7.5,-0.321,0.038
0.62,7.5,-0.328,0.041
0.64,7.5,-0.332,0.044
0.66,7.5,-0.33,0.048
0.68,7.5,-0.325,0.051
0.7,7.5,-0.318,0.055
0.72,7.5,-0.304,0.058
0.74,7.5,-0.288,0.062
0.76,7.5,-0.269,0.065
0.78,7.5,-0.241,0.069
0.8,7.5,-0.211,0.072
0.82,7.5,-0.185,0.076
0.84,7.5,-0.152,0.08
0.86,7.5,-0.119,0.083
0.88,7.5,-0.086,0.087
0.9,7.5,-0.049,0.091
0.92,7.5,-0.014,0.095
0.94,7.5,0.024,0.098
0.96,7.5,0.059,0.102
0.98,7.5,0.091,0.106
1.0,7.5,0.127,0.11
1.02,7.5,0.155,0.113
1.04,7.5,0.187,0.117
1.06,7.5,0.213,0.121
1.08,7.5,0.236,0.125
1.1,7.5,0.26,0.128
1.12,7.5,0.272,0.132
1.14,7.5,0.29,0.136
1.16,7.5,0.3,0.139
1.18,7.5,0.302,0.143
1.2,7.5,0.305,0.147
1.22,7.5,0.3,0.151
