Tiempo ,CONTROL,VELOCIDA,REFERENC
-0.1,0,0,0
-0.095,0,0,0
-0.09,0,0,0
-0.085,0,0,0
-0.08,0,0,0
-0.075,0,0,0
-0.07,0,0,0
-0.065,0,0,0
-0.06,0,0,0
-0.055,0,0,0
-0.05,0,0,0
-0.045,0,0,0
-0.04,0,0,0
-0.035,0,0,0
-0.03,0,0,0
-0.025,0,0,0
-0.02,0,0,0
-0.015,0,0,0
-0.01,0,0,0
-0.005,0,0,0
0,5.092,0.025,4
0.005,5.011,0.278,4
0.01,4.604,0.772,4
0.015,4.304,1.16,4
0.02,4.045,1.497,4
0.025,3.842,1.775,4
0.03,3.754,1.95,4
0.035,3.658,2.122,4
0.04,3.606,2.253,4
0.045,3.623,2.322,4
0.05,3.533,2.473,4
0.055,3.527,2.55,4
0.06,3.436,2.69,4
0.065,3.509,2.695,4
0.07,3.416,2.83,4
0.075,3.488,2.83,4
0.08,3.38,2.97,4
0.085,3.43,2.98,4
0.09,3.396,3.055,4
0.095,3.466,3.045,4
0.1,3.368,3.168,4
0.105,3.399,3.182,4
0.11,3.343,3.265,4
0.115,3.273,3.355,4
0.12,3.335,3.338,4
0.125,3.298,3.398,4
0.13,3.303,3.422,4
0.135,3.274,3.473,4
0.14,3.271,3.5,4
0.145,3.253,3.537,4
0.15,3.253,3.56,4
0.155,3.177,3.64,4
0.16,3.292,3.568,4
0.165,3.178,3.677,4
0.17,3.14,3.722,4
0.175,3.275,3.63,4
0.18,3.157,3.74,4
0.185,3.108,3.79,4
0.19,3.179,3.745,4
0.195,3.169,3.765,4
0.2,3.142,3.798,4
0.205,3.167,3.787,4
0.21,3.125,3.83,4
0.215,3.059,3.89,4
0.22,3.113,3.852,4
0.225,3.145,3.835,4
0.23,3.049,3.918,4
0.235,3.083,3.895,4
0.24,3.131,3.862,4
0.245,3.088,3.902,4
0.25,3.056,3.932,4
0.255,3.114,3.89,4
0.26,3.108,3.9,4
0.265,3.012,3.98,4
0.27,3.02,3.975,4
0.275,3.088,3.923,4
0.28,3.023,3.977,4
0.285,2.979,4.012,4
0.29,3.017,3.983,4
0.295,3.031,3.972,4
0.3,2.943,4.043,4
0.305,2.963,4.025,4
0.31,3.028,3.972,4
0.315,3.03,3.972,4
0.32,2.974,4.017,4
0.325,2.995,4,4
0.33,3.056,3.952,4
0.335,2.976,4.017,4
0.34,2.917,4.062,4
0.345,2.952,4.033,4
0.35,2.998,3.995,4
0.355,2.931,4.047,4
0.36,2.941,4.037,4
0.365,3.009,3.983,4
0.37,3.01,3.983,4
0.375,2.889,4.078,4
0.38,2.878,4.082,4
0.385,2.937,4.033,4
0.39,2.948,4.023,4
0.395,2.908,4.053,4
0.4,2.953,4.015,4
0.405,2.997,3.98,4
0.41,2.934,4.03,4
0.415,2.884,4.068,4
0.42,2.919,4.037,4
0.425,2.952,4.01,4
0.43,2.893,4.055,4
0.435,2.912,4.037,4
0.44,2.964,3.995,4
0.445,2.962,3.997,4
0.45,2.846,4.088,4
0.455,2.841,4.088,4
0.46,2.916,4.025,4
0.465,2.93,4.012,4
0.47,2.901,4.035,4
0.475,2.918,4.02,4
0.48,2.965,3.983,4
0.485,2.902,4.033,4
0.49,2.848,4.072,4
0.495,2.886,4.04,4
0.5,2.944,3.993,4
0.505,2.884,4.04,4
0.51,2.888,4.035,4
0.515,2.94,3.993,4
0.52,2.94,3.993,4
0.525,2.829,4.08,4
0.53,2.827,4.078,4
0.535,2.912,4.008,4
0.54,2.928,3.995,4
0.545,2.877,4.035,4
0.55,2.894,4.02,4
0.555,2.937,3.985,4
0.56,2.884,4.027,4
0.565,2.837,4.062,4
0.57,2.891,4.017,4
0.575,2.928,3.988,4
0.58,2.868,4.035,4
0.585,2.882,4.023,4
0.59,2.932,3.983,4
0.595,2.924,3.99,4
0.6,2.819,4.072,4
0.605,2.817,4.07,4
0.61,2.89,4.01,4
0.615,2.902,4,4
0.62,2.883,4.015,4
0.625,2.901,4,4
0.63,2.962,3.952,4
0.635,2.891,4.01,4
0.64,2.836,4.053,4
0.645,2.865,4.027,4
0.65,2.905,3.995,4
0.655,2.835,4.05,4
0.66,2.857,4.03,4
0.665,2.936,3.967,4
0.67,2.941,3.965,4
0.675,2.847,4.04,4
0.68,2.822,4.057,4
0.685,2.883,4.008,4
0.69,2.876,4.012,4
0.695,2.837,4.043,4
0.7,2.892,3.997,4
0.705,2.953,3.95,4
0.71,2.888,4.003,4
0.715,2.869,4.017,4
0.72,2.903,3.99,4
0.725,2.897,3.995,4
0.73,2.811,4.062,4
0.735,2.83,4.045,4
0.74,2.904,3.985,4
0.745,2.927,3.967,4
0.75,2.865,4.017,4
0.755,2.883,4.003,4
0.76,2.918,3.975,4
0.765,2.878,4.008,4
0.77,2.83,4.045,4
0.775,2.885,4,4
0.78,2.904,3.985,4
0.785,2.854,4.025,4
0.79,2.868,4.012,4
0.795,2.935,3.96,4
0.8,2.943,3.955,4
0.805,2.841,4.037,4
0.81,2.825,4.047,4
0.815,2.887,3.997,4
0.82,2.877,4.005,4
0.825,2.842,4.033,4
0.83,2.904,3.983,4
0.835,2.966,3.935,4
0.84,2.893,3.995,4
0.845,2.874,4.01,4
0.85,2.908,3.983,4
0.855,2.913,3.98,4
0.86,2.802,4.068,4
0.865,2.823,4.047,4
0.87,2.904,3.983,4
0.875,2.914,3.975,4
0.88,2.877,4.005,4
0.885,2.909,3.98,4
0.89,2.965,3.938,4
0.895,2.885,4.003,4
0.9,2.837,4.04,4
0.905,2.873,4.01,4
0.91,2.905,3.985,4
0.915,2.841,4.035,4
0.92,2.868,4.012,4
0.925,2.928,3.965,4
0.93,2.94,3.957,4
0.935,2.859,4.023,4
0.94,2.842,4.035,4
0.945,2.891,3.995,4
0.95,2.885,4,4
0.955,2.843,4.033,4
0.96,2.889,3.995,4
0.965,2.957,3.943,4
0.97,2.896,3.993,4
0.975,2.874,4.01,4
0.98,2.909,3.983,4
0.985,2.913,3.98,4
0.99,2.818,4.055,4
0.995,2.825,4.047,4
1,2.911,3.977,4
1.005,2.932,3.963,4
1.01,2.88,4.005,4
1.015,2.88,4.005,4
1.02,2.921,3.972,4
1.025,2.878,4.008,4
1.03,2.832,4.043,4
1.035,2.884,4,4
1.04,2.92,3.972,4
1.045,2.867,4.015,4
1.05,2.888,3.997,4
1.055,2.936,3.96,4
1.06,2.936,3.963,4
1.065,2.819,4.055,4
1.07,2.823,4.05,4
1.075,2.884,4,4
1.08,2.9,3.988,4
1.085,2.868,4.012,4
1.09,2.909,3.98,4
1.095,2.978,3.928,4
1.1,2.896,3.995,4
1.105,2.845,4.035,4
1.11,2.875,4.01,4
1.115,2.906,3.985,4
1.12,2.83,4.045,4
1.125,2.856,4.023,4
1.13,2.938,3.957,4
1.135,2.944,3.955,4
1.14,2.844,4.035,4
1.145,2.826,4.047,4
1.15,2.887,3.997,4
1.155,2.887,3.997,4
1.16,2.849,4.027,4
1.165,2.905,3.983,4
1.17,2.96,3.94,4
1.175,2.894,3.995,4
