Tiempo ,VELOCIDA,CORRIENT,ENTRADA
-0.2,0,0,0
-0.19,0,0,0
-0.18,0,0,0
-0.17,0,0,0
-0.16,0,0,0
-0.15,0,0,0
-0.14,0,0,0
-0.13,0,0,0
-0.12,0,0,0
-0.11,0,0,0
-0.1,0,0,0
-0.09,0,0,0
-0.08,0,0,0
-0.07,0,0,0
-0.06,0,0,0
-0.05,0,0,0
-0.04,0,0,0
-0.03,0,0,0
-0.02,0,0,0
-0.01,0,0,0
0,0.027,-0.004,0
0.01,0.025,-0.007,0
0.02,0.022,-0.007,0
0.03,0.025,-0.007,0
0.04,0.022,-0.007,0
0.05,0.022,-0.007,0
0.06,0.025,-0.007,0
0.07,0.022,-0.007,0
0.08,0.022,-0.007,0
0.09,0.022,-0.007,0
0.1,0.022,-0.007,0
0.11,0.022,-0.007,0
0.12,0.022,-0.007,0
0.13,0.022,-0.007,0
0.14,0.022,-0.007,0
0.15,0.022,-0.007,0
0.16,0.022,-0.007,0
0.17,0.022,-0.007,0
0.18,0.02,-0.007,0
0.19,0.02,-0.007,0
0.2,0.02,-0.007,0
0.21,0.022,-0.007,0
0.22,0.02,-0.007,0
0.23,0.02,-0.007,0
0.24,0.02,-0.007,0
0.25,0.02,-0.007,0
0.26,0.02,-0.007,0
0.27,0.02,-0.007,0
0.28,0.018,-0.007,0
0.29,0.02,-0.006,0
0.3,0.018,-0.007,0
0.31,0.02,-0.007,0
0.32,0.018,-0.007,0
0.33,0.018,-0.007,0
0.34,0.02,-0.007,0
0.35,0.018,-0.007,0
0.36,0.02,-0.007,0
0.37,0.018,-0.007,0
0.38,0.018,-0.007,0
0.39,0.018,-0.007,0
0.4,0.018,-0.007,0
0.41,0.018,-0.007,0
0.42,0.018,-0.006,0
0.43,0.018,-0.007,0
0.44,0.02,-0.006,0
0.45,0.018,-0.006,0
0.46,0.015,-0.007,0
0.47,0.018,-0.007,0
0.48,0.018,-0.007,0
0.49,0.018,-0.006,0
0.5,0.018,-0.005,0
0.51,0.018,-0.007,0
0.52,0.26,0.543,3
0.53,0.875,0.506,3
0.54,1.298,0.435,3
0.55,1.555,0.4,3
0.56,1.793,0.369,3
0.57,2.015,0.366,3
0.58,2.15,0.35,3
0.59,2.262,0.32,3
0.6,2.425,0.307,3
0.61,2.533,0.299,3
0.62,2.643,0.282,3
0.63,2.74,0.282,3
0.64,2.848,0.27,3
0.65,2.92,0.262,3
0.66,2.982,0.249,3
0.67,3.085,0.235,3
0.68,3.15,0.229,3
0.69,3.17,0.219,3
0.7,3.2,0.219,3
0.71,3.265,0.216,3
0.72,3.35,0.204,3
0.73,3.385,0.208,3
0.74,3.483,0.192,3
0.75,3.425,0.191,3
0.76,3.495,0.189,3
0.77,3.582,0.186,3
0.78,3.618,0.177,3
0.79,3.598,0.172,3
0.8,3.638,0.176,3
0.81,3.69,0.172,3
0.82,3.665,0.157,3
