Tiempo ,CONTROL,VELOCIDA,REFERENC
-0.1,0,0,0
-0.095,0,0,0
-0.09,0,0,0
-0.085,0,0,0
-0.08,0,0,0
-0.075,0,0,0
-0.07,0,0,0
-0.065,0,0,0
-0.06,0,0,0
-0.055,0,0,0
-0.05,0,0,0
-0.045,0,0,0
-0.04,0,0,0
-0.035,0,0,0
-0.03,0,0,0
-0.025,0,0,0
-0.02,0,0,0
-0.015,0,0,0
-0.01,0,0,0
-0.005,0,0,0
0,4,0.025,4
0.005,3.997,0.215,4
0.01,3.782,0.608,4
0.015,3.606,0.942,4
0.02,3.452,1.24,4
0.025,3.339,1.482,4
0.03,3.258,1.682,4
0.035,3.242,1.808,4
0.04,3.213,1.94,4
0.045,3.202,2.048,4
0.05,3.192,2.15,4
0.055,3.199,2.23,4
0.06,3.17,2.342,4
0.065,3.201,2.39,4
0.07,3.159,2.508,4
0.075,3.193,2.545,4
0.08,3.184,2.622,4
0.085,3.206,2.665,4
0.09,3.157,2.777,4
0.095,3.205,2.787,4
0.1,3.177,2.873,4
0.105,3.185,2.918,4
0.11,3.151,3.003,4
0.115,3.206,2.995,4
0.12,3.15,3.097,4
0.125,3.198,3.092,4
0.13,3.176,3.158,4
0.135,3.143,3.23,4
0.14,3.167,3.243,4
0.145,3.12,3.325,4
0.15,3.167,3.31,4
0.155,3.155,3.355,4
0.16,3.102,3.438,4
0.165,3.167,3.4,4
0.17,3.105,3.49,4
0.175,3.124,3.495,4
0.18,3.163,3.48,4
0.185,3.087,3.58,4
0.19,3.132,3.555,4
0.195,3.136,3.572,4
0.2,3.068,3.66,4
0.205,3.134,3.61,4
0.21,3.123,3.64,4
0.215,3.049,3.73,4
0.22,3.095,3.697,4
0.225,3.124,3.683,4
0.23,3.059,3.763,4
0.235,3.063,3.77,4
0.24,3.079,3.765,4
0.245,3.024,3.83,4
0.25,3.045,3.817,4
0.255,3.116,3.755,4
0.26,3.063,3.82,4
0.265,3.036,3.855,4
0.27,3.066,3.832,4
0.275,3.061,3.845,4
0.28,3.013,3.9,4
0.285,3.03,3.887,4
0.29,3.058,3.865,4
0.295,2.997,3.932,4
0.3,2.997,3.935,4
0.305,3.046,3.89,4
0.31,3.049,3.893,4
0.315,2.991,3.955,4
0.32,3.013,3.935,4
0.325,3.069,3.882,4
0.33,3.004,3.952,4
0.335,2.966,3.993,4
0.34,2.987,3.972,4
0.345,3.003,3.957,4
0.35,2.927,4.035,4
0.355,2.943,4.017,4
0.36,3.01,3.95,4
0.365,3.015,3.947,4
0.37,2.96,4.005,4
0.375,2.967,3.997,4
0.38,2.997,3.967,4
0.385,2.946,4.02,4
0.39,2.917,4.047,4
0.395,2.965,3.997,4
0.4,2.998,3.965,4
0.405,2.96,4.005,4
0.41,2.954,4.01,4
0.415,2.961,4.003,4
0.42,2.956,4.008,4
0.425,2.895,4.068,4
0.43,2.912,4.047,4
0.435,2.973,3.985,4
0.44,2.984,3.975,4
0.445,2.902,4.057,4
0.45,2.887,4.07,4
0.455,2.934,4.02,4
0.46,2.945,4.008,4
0.465,2.917,4.035,4
0.47,2.933,4.017,4
0.475,2.973,3.977,4
0.48,2.913,4.037,4
0.485,2.874,4.075,4
0.49,2.923,4.023,4
0.495,2.977,3.967,4
0.5,2.924,4.023,4
0.505,2.897,4.047,4
0.51,2.92,4.023,4
0.515,2.932,4.01,4
0.52,2.881,4.06,4
0.525,2.911,4.027,4
0.53,2.947,3.99,4
0.535,2.938,4,4
0.54,2.847,4.09,4
0.545,2.86,4.072,4
0.55,2.93,4,4
0.555,2.945,3.985,4
0.56,2.883,4.047,4
0.565,2.868,4.06,4
0.57,2.898,4.027,4
0.575,2.904,4.02,4
0.58,2.878,4.045,4
0.585,2.909,4.012,4
0.59,2.936,3.985,4
0.595,2.894,4.027,4
0.6,2.857,4.062,4
0.605,2.894,4.023,4
0.61,2.939,3.977,4
0.615,2.892,4.025,4
0.62,2.886,4.03,4
0.625,2.909,4.005,4
0.63,2.902,4.012,4
0.635,2.836,4.078,4
0.64,2.867,4.043,4
0.645,2.93,3.977,4
0.65,2.927,3.983,4
0.655,2.847,4.062,4
0.66,2.834,4.072,4
0.665,2.886,4.017,4
0.67,2.895,4.008,4
0.675,2.874,4.027,4
0.68,2.888,4.012,4
0.685,2.915,3.985,4
0.69,2.876,4.025,4
0.695,2.837,4.062,4
0.7,2.882,4.015,4
0.705,2.926,3.97,4
0.71,2.88,4.017,4
0.715,2.874,4.023,4
0.72,2.893,4.003,4
0.725,2.898,3.997,4
0.73,2.823,4.072,4
0.735,2.842,4.05,4
0.74,2.91,3.98,4
0.745,2.921,3.97,4
0.75,2.849,4.043,4
0.755,2.84,4.05,4
0.76,2.878,4.01,4
0.765,2.867,4.02,4
0.77,2.846,4.04,4
0.775,2.884,4,4
0.78,2.93,3.955,4
0.785,2.879,4.008,4
0.79,2.851,4.035,4
0.795,2.877,4.008,4
0.8,2.884,4,4
0.805,2.836,4.047,4
0.81,2.854,4.027,4
0.815,2.911,3.97,4
0.82,2.912,3.97,4
0.825,2.831,4.053,4
0.83,2.823,4.057,4
0.835,2.871,4.008,4
0.84,2.883,3.995,4
0.845,2.85,4.027,4
0.85,2.879,3.997,4
0.855,2.932,3.945,4
0.86,2.867,4.012,4
0.865,2.826,4.053,4
0.87,2.864,4.012,4
0.875,2.893,3.983,4
0.88,2.836,4.04,4
0.885,2.86,4.015,4
0.89,2.917,3.957,4
0.895,2.904,3.972,4
0.9,2.817,4.06,4
0.905,2.814,4.06,4
0.91,2.869,4.003,4
0.915,2.872,4,4
0.92,2.849,4.023,4
0.925,2.878,3.993,4
0.93,2.916,3.955,4
0.935,2.868,4.005,4
0.94,2.835,4.037,4
0.945,2.861,4.01,4
0.95,2.883,3.988,4
0.955,2.828,4.043,4
0.96,2.849,4.02,4
0.965,2.903,3.965,4
0.97,2.91,3.96,4
0.975,2.824,4.047,4
0.98,2.819,4.05,4
0.985,2.86,4.008,4
0.99,2.862,4.005,4
0.995,2.839,4.027,4
1,2.878,3.988,4
1.005,2.931,3.935,4
1.01,2.871,3.997,4
1.015,2.836,4.033,4
1.02,2.87,3.997,4
1.025,2.875,3.993,4
1.03,2.803,4.065,4
1.035,2.825,4.04,4
1.04,2.903,3.96,4
1.045,2.905,3.96,4
1.05,2.847,4.02,4
1.055,2.841,4.025,4
1.06,2.877,3.988,4
1.065,2.848,4.017,4
1.07,2.817,4.047,4
1.075,2.86,4.003,4
1.08,2.902,3.96,4
1.085,2.861,4.003,4
1.09,2.861,4.003,4
1.095,2.886,3.977,4
1.1,2.882,3.983,4
1.105,2.803,4.062,4
1.11,2.802,4.06,4
1.115,2.86,4,4
1.12,2.88,3.98,4
1.125,2.846,4.015,4
1.13,2.86,4,4
1.135,2.9,3.96,4
1.14,2.864,3.997,4
1.145,2.827,4.035,4
1.15,2.848,4.012,4
1.155,2.875,3.985,4
1.16,2.825,4.035,4
1.165,2.831,4.027,4
1.17,2.89,3.967,4
1.175,2.904,3.955,4
