Tiempo ,CONTROL,VELOCIDA,REFERENC
-0.1,0,0,0
-0.095,0,0,0
-0.09,0,0,0
-0.085,0,0,0
-0.08,0,0,0
-0.075,0,0,0
-0.07,0,0,0
-0.065,0,0,0
-0.06,0,0,0
-0.055,0,0,0
-0.05,0,0,0
-0.045,0,0,0
-0.04,0,0,0
-0.035,0,0,0
-0.03,0,0,0
-0.025,0,0,0
-0.02,0,0,0
-0.015,0,0,0
-0.01,0,0,0
-0.005,0,0,0
0,4,0.025,4
0.005,3.99,0.222,4
0.01,3.804,0.585,4
0.015,3.602,0.947,4
0.02,3.488,1.205,4
0.025,3.366,1.457,4
0.03,3.301,1.643,4
0.035,3.24,1.815,4
0.04,3.235,1.923,4
0.045,3.218,2.037,4
0.05,3.221,2.128,4
0.055,3.219,2.217,4
0.06,3.208,2.312,4
0.065,3.18,2.42,4
0.07,3.223,2.453,4
0.075,3.208,2.54,4
0.08,3.225,2.592,4
0.085,3.166,2.717,4
0.09,3.229,2.715,4
0.095,3.164,2.84,4
0.1,3.207,2.852,4
0.105,3.178,2.935,4
0.11,3.194,2.97,4
0.115,3.14,3.072,4
0.12,3.174,3.082,4
0.125,3.164,3.135,4
0.13,3.137,3.203,4
0.135,3.178,3.2,4
0.14,3.133,3.282,4
0.145,3.182,3.268,4
0.15,3.169,3.315,4
0.155,3.119,3.398,4
0.16,3.157,3.388,4
0.165,3.136,3.438,4
0.17,3.138,3.463,4
0.175,3.156,3.47,4
0.18,3.105,3.545,4
0.185,3.147,3.525,4
0.19,3.114,3.58,4
0.195,3.109,3.605,4
0.2,3.103,3.63,4
0.205,3.103,3.648,4
0.21,3.089,3.677,4
0.215,3.094,3.688,4
0.22,3.084,3.713,4
0.225,3.083,3.728,4
0.23,3.111,3.713,4
0.235,3.071,3.765,4
0.24,3.03,3.817,4
0.245,3.076,3.78,4
0.25,3.099,3.767,4
0.255,3.037,3.84,4
0.26,3.058,3.828,4
0.265,3.088,3.805,4
0.27,3.01,3.893,4
0.275,2.997,3.91,4
0.28,3.042,3.87,4
0.285,3.03,3.887,4
0.29,2.985,3.938,4
0.295,3.016,3.91,4
0.3,3.033,3.898,4
0.305,2.96,3.975,4
0.31,2.966,3.97,4
0.315,3.01,3.928,4
0.32,3.003,3.938,4
0.325,2.971,3.972,4
0.33,3.003,3.943,4
0.335,3.028,3.92,4
0.34,2.971,3.98,4
0.345,2.98,3.972,4
0.35,3.016,3.938,4
0.355,3.014,3.943,4
0.36,2.942,4.017,4
0.365,2.933,4.025,4
0.37,2.965,3.993,4
0.375,2.953,4.005,4
0.38,2.927,4.03,4
0.385,2.961,3.995,4
0.39,2.994,3.963,4
0.395,2.953,4.005,4
0.4,2.95,4.008,4
0.405,2.975,3.983,4
0.41,2.966,3.993,4
0.415,2.888,4.07,4
0.42,2.885,4.07,4
0.425,2.947,4.005,4
0.43,2.959,3.993,4
0.435,2.917,4.035,4
0.44,2.935,4.015,4
0.445,2.96,3.99,4
0.45,2.917,4.033,4
0.455,2.883,4.065,4
0.46,2.92,4.025,4
0.465,2.954,3.99,4
0.47,2.907,4.037,4
0.475,2.915,4.027,4
0.48,2.937,4.005,4
0.485,2.934,4.008,4
0.49,2.853,4.088,4
0.495,2.866,4.07,4
0.5,2.931,4.003,4
0.505,2.949,3.985,4
0.51,2.896,4.037,4
0.515,2.89,4.043,4
0.52,2.915,4.015,4
0.525,2.892,4.037,4
0.53,2.865,4.062,4
0.535,2.902,4.023,4
0.54,2.949,3.975,4
0.545,2.91,4.015,4
0.55,2.884,4.04,4
0.555,2.905,4.017,4
0.56,2.909,4.012,4
0.565,2.841,4.08,4
0.57,2.857,4.06,4
0.575,2.927,3.988,4
0.58,2.935,3.98,4
0.585,2.858,4.057,4
0.59,2.845,4.068,4
0.595,2.887,4.023,4
0.6,2.879,4.03,4
0.605,2.855,4.053,4
0.61,2.905,4,4
0.615,2.95,3.955,4
0.62,2.887,4.02,4
0.625,2.861,4.045,4
0.63,2.874,4.03,4
0.635,2.89,4.012,4
0.64,2.832,4.07,4
0.645,2.861,4.037,4
0.65,2.917,3.98,4
0.655,2.926,3.972,4
0.66,2.851,4.047,4
0.665,2.842,4.055,4
0.67,2.872,4.023,4
0.675,2.868,4.025,4
0.68,2.842,4.05,4
0.685,2.882,4.008,4
0.69,2.93,3.96,4
0.695,2.886,4.005,4
0.7,2.861,4.03,4
0.705,2.885,4.005,4
0.71,2.884,4.005,4
0.715,2.814,4.075,4
0.72,2.825,4.06,4
0.725,2.893,3.99,4
0.73,2.908,3.975,4
0.735,2.857,4.027,4
0.74,2.858,4.025,4
0.745,2.889,3.993,4
0.75,2.862,4.02,4
0.755,2.823,4.057,4
0.76,2.866,4.012,4
0.765,2.901,3.977,4
0.77,2.851,4.027,4
0.775,2.86,4.017,4
0.78,2.905,3.972,4
0.785,2.901,3.977,4
0.79,2.824,4.055,4
0.795,2.819,4.057,4
0.8,2.864,4.01,4
0.805,2.868,4.005,4
0.81,2.843,4.03,4
0.815,2.884,3.988,4
0.82,2.933,3.94,4
0.825,2.873,4.003,4
0.83,2.85,4.025,4
0.835,2.869,4.005,4
0.84,2.879,3.995,4
0.845,2.811,4.062,4
0.85,2.818,4.053,4
0.855,2.881,3.988,4
0.86,2.902,3.967,4
0.865,2.855,4.015,4
0.87,2.867,4.003,4
0.875,2.907,3.963,4
0.88,2.859,4.012,4
0.885,2.818,4.053,4
0.89,2.858,4.01,4
0.895,2.881,3.988,4
0.9,2.828,4.04,4
0.905,2.849,4.017,4
0.91,2.906,3.96,4
0.915,2.908,3.96,4
0.92,2.837,4.033,4
0.925,2.835,4.033,4
0.93,2.869,3.997,4
0.935,2.849,4.017,4
0.94,2.826,4.04,4
0.945,2.866,3.997,4
0.95,2.902,3.963,4
0.955,2.858,4.008,4
0.96,2.865,4,4
0.965,2.898,3.967,4
0.97,2.895,3.972,4
0.975,2.818,4.05,4
0.98,2.811,4.055,4
0.985,2.858,4.005,4
0.99,2.868,3.995,4
0.995,2.838,4.025,4
1,2.87,3.993,4
1.005,2.915,3.947,4
1.01,2.88,3.985,4
1.015,2.848,4.017,4
1.02,2.88,3.985,4
1.025,2.881,3.985,4
1.03,2.808,4.057,4
1.035,2.811,4.053,4
1.04,2.874,3.988,4
1.045,2.887,3.975,4
1.05,2.848,4.015,4
1.055,2.87,3.993,4
1.06,2.908,3.955,4
1.065,2.865,4,4
1.07,2.834,4.03,4
1.075,2.863,4,4
1.08,2.871,3.993,4
1.085,2.813,4.05,4
1.09,2.828,4.033,4
1.095,2.892,3.967,4
1.1,2.899,3.963,4
1.105,2.845,4.017,4
1.11,2.85,4.012,4
1.115,2.879,3.983,4
1.12,2.85,4.012,4
1.125,2.827,4.035,4
1.13,2.858,4.003,4
1.135,2.888,3.972,4
1.14,2.839,4.023,4
1.145,2.85,4.01,4
1.15,2.89,3.97,4
1.155,2.906,3.955,4
1.16,2.831,4.033,4
1.165,2.824,4.037,4
1.17,2.857,4.003,4
