Tiempo ,ANGULO,ESTIMULO
-0.4,0,0
-0.38,0,0
-0.36,0,0
-0.34,0,0
-0.32,0,0
-0.3,0,0
-0.28,0,0
-0.26,0,0
-0.24,0,0
-0.22,0,0
-0.2,0,0
-0.18,0,0
-0.16,0,0
-0.14,0,0
-0.12,0,0
-0.1,0,0
-0.08,0,0
-0.06,0,0
-0.04,0,0
-0.02,0,0
0,-0.002,0
0.02,-0.002,0
0.04,-0.002,0
0.06,-0.002,0
0.08,-0.002,0
0.1,-0.002,0
0.12,-0.002,0
0.14,-0.002,0
0.16,-0.002,0
0.18,-0.002,0
0.2,-0.002,0
0.22,-0.002,0
0.24,-0.002,0
0.26,-0.002,0
0.28,-0.002,0
0.3,-0.002,0
0.32,-0.002,0
0.34,-0.002,0
0.36,-0.002,0
0.38,-0.002,0
0.4,-0.002,0
0.42,-0.002,0
0.44,-0.002,0
0.46,-0.002,0
0.48,-0.002,0
0.5,-0.002,0
0.52,-0.002,0
0.54,-0.002,0
0.56,-0.002,0
0.58,-0.002,0
0.6,-0.002,0
0.62,-0.002,0
0.64,-0.002,0
0.66,-0.002,0
0.68,-0.002,0
0.7,0,0
0.72,0,0
0.74,0,0
0.76,0,0
0.78,0,0
0.8,0,0
0.82,0,0
0.84,0,0
0.86,0,0
0.88,0,0
0.9,0,0
0.92,0,0
0.94,0,0
0.96,0,0
0.98,0,0
1,0,0
1.02,0,0
1.04,0,1.7
1.06,0,1.7
1.08,0,1.7
1.1,0,1.7
1.12,0,1.7
1.14,0,1.7
1.16,0,1.7
1.18,0.002,1.7
1.2,0.003,1.7
1.22,0.007,1.7
1.24,0.012,1.7
1.26,0.021,1.7
1.28,0.031,1.7
1.3,0.045,1.7
1.32,0.061,1.7
1.34,0.082,1.7
1.36,0.105,1.7
1.38,0.129,1.7
1.4,0.159,1.7
1.42,0.19,1.7
1.44,0.223,1.7
1.46,0.258,1.7
1.48,0.297,1.7
1.5,0.337,1.7
1.52,0.377,1.7
1.54,0.419,1.7
1.56,0.463,1.7
1.58,0.506,1.7
1.6,0.55,1.7
1.62,0.593,1.7
1.64,0.637,1.7
1.66,0.681,1.7
1.68,0.723,1.7
1.7,0.764,1.7
1.72,0.805,1.7
1.74,0.843,1.7
1.76,0.88,1.7
1.78,0.915,1.7
1.8,0.948,1.7
1.82,0.979,1.7
1.84,1.007,1.7
1.86,1.033,1.7
1.88,1.058,1.7
1.9,1.08,1.7
1.92,1.1,1.7
1.94,1.115,1.7
1.96,1.129,1.7
1.98,1.14,1.7
2,1.148,1.7
2.02,1.155,1.7
2.04,1.157,1.7
2.06,1.159,1.7
2.08,1.155,1.7
2.1,1.15,1.7
2.12,1.143,1.7
2.14,1.133,1.7
2.16,1.119,1.7
2.18,1.105,1.7
